MeSH Code	MeSH Name	ICD10 Code	ICD10 Name
D005386	Fingersucking	F98.8	Other specified behavioural and emotional disorders with onset usually occurring in childhood and adolescence
D005494	Folic Acid Deficiency	E53.8	Deficiency of other specified B group vitamins
D005497	Follicular Cyst	K09.0	Developmental odontogenic cysts
D005536	Foot-and-Mouth Disease	B08.8	Other specified viral infections characterized by skin and mucous membrane lesions
D054092	Foramen Ovale, Patent	Q21.1	Atrial septal defect
D050723	Fractures, Bone	T14.8	Other injuries of unspecified body region
D050723	Fractures, Bone	T14.5	Injury of blood vessel(s) of unspecified body region
D005598	Fractures, Spontaneous	M84.4	Pathological fracture, not elsewhere classified
D005600	Fragile X Syndrome	Q99.2	Fragile X chromosome
D015522	Frontal Sinusitis	J32.1	Chronic frontal sinusitis
D005645	Fucosidosis	E77.1	Defects in glycoprotein degradation
D005671	Fused Teeth	K00.2	Abnormalities of size and form of teeth
D005758	Gastritis, Hypertrophic	K29.6	Other gastritis
D005759	Gastroenteritis	K52.9	Noninfective gastroenteritis and colitis, unspecified
D005770	Gastrointestinal Neoplasms	C26.9	Malignant neoplasm of ill-defined sites within the digestive system
D005819	Genetic Markers	Q95.4	Individuals with marker heterochromatin
D005882	Gingival Diseases	K05.1	Chronic gingivitis
D005891	Gingivitis	K05.1	Chronic gingivitis
D005892	Gingivitis, Necrotizing Ulcerative	K12.1	Other forms of stomatitis
D005921	Glomerulonephritis	N00-N08.9	Glomerular diseases
D005921	Glomerulonephritis	N05	Unspecified nephritic syndrome
D005921	Glomerulonephritis	N05.9	Unspecified nephritic syndrome, unspecified
D006030	Glycosuria, Renal	E74.8	Other specified disorders of carbohydrate metabolism
D006042	Goiter	E04.9	Nontoxic goitre, unspecified
D006105	Granulomatous Disease, Chronic	D71	Functional disorders of polymorphonuclear neutrophils
D006111	Graves Disease	E05.0	Thyrotoxicosis with diffuse goitre
D006117	Grief	F43.2	Adjustment disorders
D006128	Growth	C00-D48.9	Neoplasms
D006177	Gynecomastia	N62	Hypertrophy of breast
D006313	Hearing Loss, Central	H90.5	Sensorineural hearing loss, unspecified
D006315	Hearing Loss, Functional	F44.6	Dissociative anaesthesia and sensory loss
D006316	Hearing Loss, High-Frequency	H91.9	Hearing loss, unspecified
D006327	Heart Block	I45.9	Conduction disorder, unspecified
D018883	Heat Stroke	T67.0	Effects of heatstroke and sunstroke
D006392	Hemangioma, Cavernous	D18.0	Haemangioma, any site
D006445	Hemoglobin C Disease	D58.2	Other haemoglobinopathies
D006453	Hemoglobinopathies	D58.2	Other haemoglobinopathies
D006455	Hemoglobins, Abnormal	D58.2	Other haemoglobinopathies
D006457	Hemoglobinuria, Paroxysmal	D59.1	Other autoimmune haemolytic anaemias
D006468	Hemopneumothorax	J94.2	Haemothorax
D006470	Hemorrhage	R58	Haemorrhage, not elsewhere classified
D006501	Hepatic Encephalopathy	K72	Hepatic failure, not elsewhere classified
D006529	Hepatomegaly	R16.0	Hepatomegaly, not elsewhere classified
D006553	Hernia, Obturator	K45	Other abdominal hernia
D006560	Herpes Labialis	B00.1	Herpesviral vesicular dermatitis
D006620	Hip Fractures	S72.0	Fracture of neck of femur
D006623	von Hippel-Lindau Disease	Q85.8	Other phakomatoses, not elsewhere classified
D015618	Histiocytosis, Sinus	D76.3	Other histiocytosis syndromes
D006679	HIV Seropositivity	Z21	Asymptomatic human immunodeficiency virus [HIV] infection status
D006685	Hoarseness	R49.0	Dysphonia
D006810	Humeral Fractures	S42.3	Fracture of shaft of humerus
D006819	Hyaline Membrane Disease	P22	Respiratory distress of newborn
D006819	Hyaline Membrane Disease	P22.0	Respiratory distress syndrome of newborn
D006819	Hyaline Membrane Disease	P22.9	Respiratory distress of newborn, unspecified
D006832	Hydranencephaly	Q04.3	Other reduction deformities of brain
D006872	Hydropneumothorax	J94.8	Other specified pleural conditions
D006876	Hydrothorax	J94.8	Other specified pleural conditions
D006933	Hyperbilirubinemia, Hereditary	E80.6	Other disorders of bilirubin metabolism
D006946	Hyperinsulinism	E16.1	Other hypoglycaemia
D006950	Hyperlipidemia, Familial Combined	E78.4	Other hyperlipidaemia
D006955	Hypernatremia	E87.0	Hyperosmolality and hypernatraemia
D006958	Hyperostosis, Cortical, Congenital	M89.8	Other specified disorders of bone
D006980	Hyperthyroidism	E05.9	Thyrotoxicosis, unspecified
D007006	Hypogonadism	E23.0	Hypopituitarism
D007010	Hyponatremia	E87.1	Hypo-osmolality and hyponatraemia
D007027	Hypothalamic Diseases	E23.6	Other disorders of pituitary gland
D007057	Ichthyosis	E50.8	Other manifestations of vitamin A deficiency
D007079	Ileitis	K52.9	Noninfective gastroenteritis and colitis, unspecified
D007154	Immune System Diseases	D89.9	Disorder involving the immune mechanism, unspecified
D007160	Immunoproliferative Disorders	C88.9	Malignant immunoproliferative disease, unspecified
D007160	Immunoproliferative Disorders	C88	Malignant immunoproliferative diseases
D015192	Infratentorial Neoplasms	C71.7	Malignant neoplasm of brain stem
D007383	Intermittent Claudication	I73.9	Peripheral vascular disease, unspecified
D007409	Intestinal Atresia	Q41.1	Congenital absence, atresia and stenosis of jejunum
D007516	Adenoma, Islet Cell	D13.7	Benign neoplasm of endocrine pancreas
D007566	Jaundice, Chronic Idiopathic	E80.6	Other disorders of bilirubin metabolism
D007644	Darier Disease	E50.8	Other manifestations of vitamin A deficiency
D007674	Kidney Diseases	N28.9	Disorder of kidney and ureter, unspecified
D007691	Medullary Sponge Kidney	Q61.5	Medullary cystic kidney
D007715	Klippel-Trenaunay-Weber Syndrome	Q87.2	Congenital malformation syndromes predominantly involving limbs
D007806	Language Disorders	F80.9	Developmental disorder of speech and language, unspecified
D007815	Larva Migrans	B76.9	Hookworm disease, unspecified
D007815	Larva Migrans	B76	Hookworm diseases
D007818	Laryngeal Diseases	S12.8	Fracture of other parts of neck
D007863	Lecithin Cholesterol Acyltransferase Deficiency	E78.6	Lipoprotein deficiency
D007911	Lentigo	L81.4	Other melanin hyperpigmentation
D015471	Leukemia, Basophilic, Acute	C94.7	Other specified leukaemias
D015456	Leukemia, Biphenotypic, Acute	C95.0	Acute leukaemia of unspecified cell type
D015467	Leukemia, Neutrophilic, Chronic	D47.1	Chronic myeloproliferative disease
D007972	Leukoplakia, Oral	K13.2	Leukoplakia and other disturbances of oral epithelium, including tongue
D007973	Leukorrhea	N89.8	Other specified noninflammatory disorders of vagina
D008060	Lipodystrophy	E88.1	Lipodystrophy, not elsewhere classified
D008067	Lipoma	D17	Benign lipomatous neoplasm
D008067	Lipoma	D17.9	Benign lipomatous neoplasm, unspecified
D008068	Lipomatosis	E88.2	Lipomatosis, not elsewhere classified
D008146	Louping Ill	A84.8	Other tick-borne viral encephalitis
D008151	Lown-Ganong-Levine Syndrome	I45.6	Pre-excitation syndrome
D008169	Lung Abscess	J85.2	Abscess of lung without pneumonia
D008171	Lung Diseases	J98.4	Other disorders of lung
D008177	Lupus Vulgaris	A18.4	Tuberculosis of skin and subcutaneous tissue
D008199	Lymphadenitis	I88.1	Chronic lymphadenitis, except mesenteric
D008223	Lymphoma	C85.9	Non-Hodgkin's lymphoma, unspecified type
D008223	Lymphoma	C83.1	Small cleaved cell (diffuse) non-Hodgkin's lymphoma
D008232	Lymphoproliferative Disorders	D82.3	Immunodeficiency following hereditary defective response to Epstein-Barr virus
D016779	Malaria, Cerebral	B50.0	Plasmodium falciparum malaria with cerebral complications
D015523	Maxillary Sinusitis	J32.0	Chronic maxillary sinusitis
D008478	Mediastinal Emphysema	J98.2	Interstitial emphysema
D008531	Megacolon	K59.3	Megacolon, not elsewhere classified
D008579	Meningioma	D32.9	Benign neoplasm of meninges, unspecified
D008579	Meningioma	D32	Benign neoplasm of meninges
D008582	Meningitis, Aseptic	G03.0	Nonpyogenic meningitis
D008590	Meningoencephalitis	G04.9	Encephalitis, myelitis and encephalomyelitis, unspecified
D008590	Meningoencephalitis	G04	Encephalitis, myelitis and encephalomyelitis
D008591	Meningomyelocele	Q05	Spina bifida
D008591	Meningomyelocele	Q05.9	Spina bifida, unspecified
D008595	Menorrhagia	N92.0	Excessive and frequent menstruation with regular cycle
D008599	Menstruation Disturbances	N92.0	Excessive and frequent menstruation with regular cycle
D008796	Metrorrhagia	N92.1	Excessive and frequent menstruation with irregular cycle
D008882	Mikulicz' Disease	K11.8	Other diseases of salivary glands
D008924	Mite Infestations	B88.9	Infestation, unspecified
D008947	Mixed Connective Tissue Disease	M35.1	Other overlap syndromes
D008998	Monoclonal Gammopathy of Undetermined Significance	D47.2	Monoclonal gammopathy
D009056	Mouth Abnormalities	Q38.6	Other congenital malformations of mouth
D009081	Mucolipidoses	E77.1	Defects in glycoprotein degradation
D009110	Munchausen Syndrome	F68.1	Intentional production or feigning of symptoms or disabilities, either physical or psychological [factitious disorder]
D009110	Munchausen Syndrome	F68.0	Elaboration of physical symptoms for psychological reasons
D009165	Mycobacterium Infections, Nontuberculous	A31.9	Mycobacterial infection, unspecified
D009188	Myelitis, Transverse	G37.3	Acute transverse myelitis in demyelinating disease of central nervous system
D009196	Myeloproliferative Disorders	D47.1	Chronic myeloproliferative disease
D009214	Myoma	D21	Other benign neoplasms of connective and other soft tissue
D009214	Myoma	D21.9	Other benign neoplasm of connective and other soft tissue, unspecified
D009230	Myxedema	E03.9	Hypothyroidism, unspecified
D009259	Nail Biting	F98.8	Other specified behavioural and emotional disorders with onset usually occurring in childhood and adolescence
D009261	Nail-Patella Syndrome	Q87.2	Congenital malformation syndromes predominantly involving limbs
D009264	Nails, Malformed	Q84.5	Enlarged and hypertrophic nails
D009304	Nasopharyngitis	J00	Acute nasopharyngitis [common cold]
D009306	Natal Teeth	K00.6	Disturbances in tooth eruption
D009349	Nematode Infections	B77.9	Ascariasis, unspecified
D009349	Nematode Infections	B77	Ascariasis
D009357	Neonatal Abstinence Syndrome	P96.1	Neonatal withdrawal symptoms from maternal use of drugs of addiction
D009393	Nephritis	N00-N08.9	Glomerular diseases
D009393	Nephritis	N05	Unspecified nephritic syndrome
D009393	Nephritis	N05.9	Unspecified nephritic syndrome, unspecified
D009395	Nephritis, Interstitial	N12	Tubulo-interstitial nephritis, not specified as acute or chronic
D009400	Nephrosclerosis	I12	Hypertensive renal disease
D009402	Nephrosis, Lipoid	N04	Nephrotic syndrome
D009402	Nephrosis, Lipoid	N04.9	Nephrotic syndrome, unspecified
D046768	Nesidioblastosis	E16.9	Disorder of pancreatic internal secretion, unspecified
D009436	Neural Tube Defects	Q00.0	Anencephaly
D009503	Neutropenia	D70	Agranulocytosis
D009625	Noma	A69.0	Necrotizing ulcerative stomatitis
D009634	Noonan Syndrome	Q87.1	Congenital malformation syndromes predominantly associated with short stature
D009669	Nose Neoplasms	C76.0	Malignant neoplasm of head, face and neck
D015827	Onchocerciasis, Ocular	B73	Onchocerciasis
D009886	Ophthalmoplegia	H49.8	Other paralytic strabismus
D009917	Orbital Fractures	S02.8	Fractures of other skull and facial bones
D009956	Psittacosis	A70	Chlamydia psittaci infection
D009958	Orofaciodigital Syndromes	Q87.0	Congenital malformation syndromes predominantly affecting facial appearance
D010007	Osteochondritis	M93.9	Osteochondropathy, unspecified
D055034	Osteochondrosis	M93.9	Osteochondropathy, unspecified
D010023	Osteopoikilosis	Q78.8	Other specified osteochondrodysplasias
D010026	Osteosclerosis	Q78.2	Osteopetrosis
D010034	Otitis Media with Effusion	H65.3	Chronic mucoid otitis media
D010123	Oxyuriasis	B80	Enterobiasis
D010144	Paget's Disease, Mammary	C50-C50.9	Malignant neoplasm of breast
D010144	Paget's Disease, Mammary	C50	Malignant neoplasm of breast
D010144	Paget's Disease, Mammary	C50.9	Malignant neoplasm of breast, unspecified
D010195	Pancreatitis	K85	Acute pancreatitis
D015435	Panniculitis, Lupus Erythematosus	L93.2	Other local lupus erythematosus
D010244	Bulbar Palsy, Progressive	G12.1	Other inherited spinal muscular atrophy
D010245	Paralyses, Familial Periodic	G72.3	Periodic paralysis
D010292	Paresthesia	R20.2	Paraesthesia of skin
D010309	Parotitis	K11.2	Sialoadenitis
D010310	Parovarian Cyst	Q50.5	Embryonic cyst of broad ligament
D010324	Passive-Aggressive Personality Disorder	F60.8	Other specific personality disorders
D010485	Periapical Periodontitis	K04.5	Chronic apical periodontitis
D010489	Periarthritis	M25.7	Osteophyte
D010489	Periarthritis	M77.9	Enthesopathy, unspecified
D010490	Pericardial Effusion	I31.3	Pericardial effusion (noninflammatory)
D010518	Periodontitis	K05.3	Chronic periodontitis
D010523	Peripheral Nervous System Diseases	G64	Other disorders of peripheral nervous system
D010580	Peutz-Jeghers Syndrome	Q85.8	Other phakomatoses, not elsewhere classified
D010689	Phlebitis	I80	Phlebitis and thrombophlebitis
D010689	Phlebitis	I80.9	Phlebitis and thrombophlebitis of unspecified site
D010855	Pierre Robin Syndrome	Q87.0	Congenital malformation syndromes predominantly affecting facial appearance
D010985	Platybasia	Q75.8	Other specified congenital malformations of skull and face bones
D010996	Pleural Effusion	J90	Pleural effusion, not elsewhere classified
D011017	Pneumonia, Lipid	J69.1	Pneumonitis due to oils and essences
D011038	Rothmund-Thomson Syndrome	Q82.8	Other specified congenital malformations of skin
D011045	Poland Syndrome	Q79.8	Other congenital malformations of musculoskeletal system
D011086	Polycythemia	D75.1	Secondary polycythaemia
D011218	Prader-Willi Syndrome	Q87.1	Congenital malformation syndromes predominantly associated with short stature
D011349	Proctitis	K62.8	Other specified diseases of anus and rectum
D011371	Progeria	E34.8	Other specified endocrine disorders
D011536	Prurigo	L28.2	Other prurigo
D011602	Psychophysiologic Disorders	F45	Somatoform disorders
D011602	Psychophysiologic Disorders	F45.9	Somatoform disorder, unspecified
D011657	Pulmonary Eosinophilia	J82	Pulmonary eosinophilia, not elsewhere classified
D011693	Purpura	R23.3	Spontaneous ecchymoses
D011697	Purpura, Thrombotic Thrombocytopenic	M31.1	Thrombotic microangiopathy
D011702	Pyelitis	N12	Tubulo-interstitial nephritis, not specified as acute or chronic
D011704	Pyelonephritis	N12	Tubulo-interstitial nephritis, not specified as acute or chronic
D011707	Pyloric Stenosis	K31.1	Adult hypertrophic pyloric stenosis
D055112	Pyometra	N71	Inflammatory disease of uterus, except cervix
D015324	Pyruvate Carboxylase Deficiency Disease	E74.4	Disorders of pyruvate metabolism and gluconeogenesis
D015325	Pyruvate Dehydrogenase Complex Deficiency Disease	E74.4	Disorders of pyruvate metabolism and gluconeogenesis
D012006	Rectovaginal Fistula	N82.3	Fistula of vagina to large intestine
D012078	Renal Artery Obstruction	N28.0	Ischaemia and infarction of kidney
D012133	Respiratory Paralysis	J98.6	Disorders of diaphragm
D012141	Respiratory Tract Infections	J00-J06.9	Acute upper respiratory infections
D012141	Respiratory Tract Infections	J06.9	Acute upper respiratory infection, unspecified
D012163	Retinal Detachment	H33.2	Serous retinal detachment
D012173	Retinitis	H30	Chorioretinal inflammation
D012173	Retinitis	H30.9	Chorioretinal inflammation, unspecified
D012181	Retrocochlear Diseases	H90.5	Sensorineural hearing loss, unspecified
D012192	Retroviridae Infections	B33.3	Retrovirus infections, not elsewhere classified
D012221	Rhinitis, Allergic, Perennial	J30.3	Other allergic rhinitis
D012222	Rhinitis, Atrophic	J31.0	Chronic rhinitis
D012279	Rickets	E55.0	Rickets, active
D012415	Rubinstein-Taybi Syndrome	Q87.2	Congenital malformation syndromes predominantly involving limbs
D012523	Sarcocystosis	A07.8	Other specified protozoal intestinal diseases
D012569	Schizotypal Personality Disorder	F21	Schizotypal disorder
D012614	Scurvy	E54	Ascorbic acid deficiency
D012678	Sensation Disorders	H02.5	Other disorders affecting eyelid function
D012713	Serum Sickness	T80.6	Other serum reactions
D012784	Shoulder Fractures	S42.9	Fracture of shoulder girdle, part unspecified
D012797	Sialometaplasia, Necrotizing	K11.8	Other diseases of salivary glands
D012798	Sialorrhea	K11.7	Disturbances of salivary secretion
D012830	Silicotuberculosis	J65	Pneumoconiosis associated with tuberculosis
D012848	Sinoatrial Block	I45.5	Other specified heart block
D012852	Sinusitis	J32.9	Chronic sinusitis, unspecified
D012852	Sinusitis	J32	Chronic sinusitis
D015524	Sphenoid Sinusitis	J32.3	Chronic sphenoidal sinusitis
D016137	Spina Bifida Cystica	Q05	Spina bifida
D016137	Spina Bifida Cystica	Q05.9	Spina bifida, unspecified
D013121	Spinal Curvatures	M43.9	Deforming dorsopathy, unspecified
D013121	Spinal Curvatures	M40-M43.9	Deforming dorsopathies
D013163	Splenomegaly	R16.1	Splenomegaly, not elsewhere classified
D013280	Stomatitis	K12.1	Other forms of stomatitis
D013281	Stomatitis, Aphthous	K12.0	Recurrent oral aphthae
D013282	Stomatitis, Denture	K12.1	Other forms of stomatitis
D013341	Sturge-Weber Syndrome	Q85.8	Other phakomatoses, not elsewhere classified
D013342	Stuttering	F98.6	Cluttering
D013406	Suicide, Attempted	X60-X84.9	Intentional self-harm
D013406	Suicide, Attempted	X84	Intentional self-harm by unspecified means
D013474	Sunstroke	T67.0	Effects of heatstroke and sunstroke
D015173	Supratentorial Neoplasms	C71.0	Malignant neoplasm of cerebrum, except lobes and ventricles
D013595	Syringomyelia	G60.8	Other hereditary and idiopathic neuropathies
D013631	Tangier Disease	E78.6	Lipoprotein deficiency
D013724	Teratoma	D28	Benign neoplasm of other and unspecified female genital organs
D013742	Tetanus	A35	Other tetanus
D013901	Thoracic Outlet Syndrome	G54.0	Brachial plexus disorders
D013915	Thrombasthenia	D69.1	Qualitative platelet defects
D013955	Thyroglossal Cyst	Q89.2	Congenital malformations of other endocrine glands
D013957	Thyroid Cartilage	S12.8	Fracture of other parts of neck
D013969	Thyroiditis, Suppurative	E06.0	Acute thyroiditis
D014005	Tinea	B35	Dermatophytosis
D014005	Tinea	B35.9	Dermatophytosis, unspecified
D014006	Tinea Capitis	B35.0	Tinea barbae and tinea capitis
D014007	Tinea Favosa	B35	Dermatophytosis
D014007	Tinea Favosa	B35.9	Dermatophytosis, unspecified
D014075	Tooth Discoloration	K03.6	Deposits [accretions] on teeth
D014098	Toothache	K08.8	Other specified disorders of teeth and supporting structures
D014120	Toxocariasis	B83.0	Visceral larva migrans
D014133	Tracheal Diseases	S12.8	Fracture of other parts of neck
D014352	Trypanosomiasis	B57.2	Chagas' disease (chronic) with heart involvement
D014352	Trypanosomiasis	B57	Chagas' disease
D014382	Tuberculosis, Cutaneous	A18.4	Tuberculosis of skin and subcutaneous tissue
D014388	Tuberculosis, Lymph Node	A18.2	Tuberculous peripheral lymphadenopathy
D014474	Unconsciousness	R40.2	Coma, unspecified
D064420	Drug-Related Side Effects and Adverse Reactions	T88.7	Unspecified adverse effect of drug or medicament
D014496	Urachal Cyst	Q64.4	Malformation of urachus
D014511	Uremia	N19	Unspecified renal failure
D014511	Uremia	N17-N19.9	Renal failure
D014526	Urethritis	N34.2	Other urethritis
D014548	Urinary Fistula	N36.0	Urethral fistula
D014571	Urologic Neoplasms	C68.9	Malignant neoplasm of urinary organ, unspecified
D014582	Urticaria Pigmentosa	Q82.2	Mastocytosis
D014591	Uterine Diseases	N85.9	Noninflammatory disorder of uterus, unspecified
D014593	Uterine Inertia	O62.0	Primary inadequate contractions
D014593	Uterine Inertia	O62.2	Other uterine inertia
D014596	Uterine Prolapse	N81.4	Uterovaginal prolapse, unspecified
D014605	Uveitis	H20	Iridocyclitis
D014605	Uveitis	H20.9	Iridocyclitis, unspecified
D019462	Syncope, Vasovagal	R55	Syncope and collapse
D014717	Vertigo	H81.3	Other peripheral vertigo
D014766	Viremia	B34.9	Viral infection, unspecified
D014766	Viremia	B34	Viral infection of unspecified site
D014806	Vitamin B 12 Deficiency	E53.8	Deficiency of other specified B group vitamins
D014826	Vocal Cord Paralysis	J38.0	Paralysis of vocal cords and larynx
D054061	Ischemic Contracture	T79.6	Traumatic ischaemia of muscle
D014847	Vulvitis	N76.2	Acute vulvitis
D014848	Vulvovaginitis	N76.0	Acute vaginitis
D014854	Lateral Medullary Syndrome	G46.3	Brain stem stroke syndrome
D019282	Wasting Syndrome	R64	Cachexia
D014927	Wolff-Parkinson-White Syndrome	I45.6	Pre-excitation syndrome
D015223	Wolman Disease	E75.5	Other lipid storage disorders
D014985	Xerophthalmia	E50.7	Other ocular manifestations of vitamin A deficiency
D014987	Xerostomia	K11.7	Disturbances of salivary secretion
D016080	Arachnoid Cysts	G93.0	Cerebral cysts
C562384	Branchial Cleft Anomalies	Q18.2	Other branchial cleft malformations
D016469	Fungemia	B35-B49.9	Mycoses
D016469	Fungemia	B49	Unspecified mycosis
D016506	Pemphigus, Benign Familial	Q82.8	Other specified congenital malformations of skin
D016511	Severe Combined Immunodeficiency	D81.6	Major histocompatibility complex class I deficiency
D016537	Gangliosidosis, GM1	E75.1	Other gangliosidosis
D016538	Mucopolysaccharidosis VII	E76.2	Other mucopolysaccharidoses
D016738	Alagille Syndrome	Q44.7	Other congenital malformations of liver
D016881	Microsporidiosis	B60.8	Other specified protozoal diseases
D017036	Epilepsia Partialis Continua	G40.1	Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures
D054312	Buruli Ulcer	A31.1	Cutaneous mycobacterial infection
D013581	Synovial Cyst	M71.3	Other bursal cyst
D055665	Purpura Fulminans	D65	Disseminated intravascular coagulation [defibrination syndrome]
D050500	Pancreatitis, Chronic	K86.1	Other chronic pancreatitis
C562388	Bicuspid Aortic Valve	Q23.1	Congenital insufficiency of aortic valve
D036981	Fasciitis, Plantar	M72.2	Plantar fascial fibromatosis
C535998	Galactocele	N64.8	Other specified disorders of breast
C535802	Sprengel deformity	Q74.0	Other congenital malformations of upper limb(s), including shoulder girdle
C562398	Madelung Deformity	Q74.0	Other congenital malformations of upper limb(s), including shoulder girdle
C535970	Coloboma of optic nerve	Q14.2	Congenital malformation of optic disc
C562408	Radioulnar Synostosis	Q74.0	Other congenital malformations of upper limb(s), including shoulder girdle
D017091	Colitis, Ischemic	K55	Vascular disorders of intestine
D017091	Colitis, Ischemic	K55.9	Vascular disorder of intestine, unspecified
D046349	Coproporphyria, Hereditary	E80.2	Other porphyria
D017096	Prion Diseases	A81.9	Atypical virus infection of central nervous system, unspecified
D017096	Prion Diseases	A81	Atypical virus infections of central nervous system
D046351	Protoporphyria, Erythropoietic	E80.0	Hereditary erythropoietic porphyria
D017204	Angelman Syndrome	Q93.5	Other deletions of part of a chromosome
D017436	Kallmann Syndrome	E23.0	Hypopituitarism
D017439	Cicatrix, Hypertrophic	L91.0	Keloid scar
C535718	Dubowitz syndrome	Q87.1	Congenital malformation syndromes predominantly associated with short stature
D056730	Silver-Russell Syndrome	Q87.1	Congenital malformation syndromes predominantly associated with short stature
D058495	Sotos Syndrome	Q87.3	Congenital malformation syndromes involving early overgrowth
C536528	Van der Woude syndrome	Q38.0	Congenital malformations of lips, not elsewhere classified
C535331	Aarskog Syndrome	Q87.1	Congenital malformation syndromes predominantly associated with short stature
C536940	Absent radii and thrombocytopenia	Q87.2	Congenital malformation syndromes predominantly involving limbs
D061085	Agenesis of Corpus Callosum	Q04.0	Congenital malformations of corpus callosum
C536237	Blount disease	M92.5	Juvenile osteochondrosis of tibia and fibula
D017564	Radiation Pneumonitis	J70.0	Acute pulmonary manifestations due to radiation
D017696	Myopathies, Nemaline	G71.2	Congenital myopathies
D017887	Ossification of Posterior Longitudinal Ligament	M48.8	Other specified spondylopathies
D018126	Odontodysplasia	K00.4	Disturbances in tooth formation
D018159	Endolymphatic Hydrops	H81.0	Meniere's disease
D018254	Adenomatoid Tumor	D19.9	Benign neoplasm of mesothelial tissue, unspecified
D018254	Adenomatoid Tumor	D19	Benign neoplasm of mesothelial tissue
D018256	Adenomatous Polyps	D28	Benign neoplasm of other and unspecified female genital organs
D018324	Hemangioma, Capillary	Q82.5	Congenital non-neoplastic naevus
C536534	VATER association	Q87.2	Congenital malformation syndromes predominantly involving limbs
C531614	Amniotic Band Sequence	Q79.8	Other congenital malformations of musculoskeletal system
D022124	Hyperammonemia	E72.2	Disorders of urea cycle metabolism
D034721	Mastocytosis, Systemic	D47.0	Histiocytic and mast cell tumours of uncertain and unknown behaviour
C538178	Acrodermatitis enteropathica	E83.2	Disorders of zinc metabolism
D020331	Mobius Syndrome	Q87.0	Congenital malformation syndromes predominantly affecting facial appearance
D052879	Subacute Combined Degeneration	G32.0	Subacute combined degeneration of spinal cord in diseases classified elsewhere
D020335	Paraparesis	G82.2	Paraplegia, unspecified
C535974	Complete atrioventricular septal defect	Q21.2	Atrioventricular septal defect
D001003	Anal Canal	K62	Other diseases of anus and rectum
D054160	Systolic Murmurs	R01.1	Cardiac murmur, unspecified
D054541	Family Conflict	Z63.5	Disruption of family by separation and divorce
C538420	Black hairy tongue	K14.3	Hypertrophy of tongue papillae
D019339	Port-Wine Stain	Q82.5	Congenital non-neoplastic naevus
D061270	Nasal Septal Perforation	J34.8	Other specified disorders of nose and nasal sinuses
D005058	Eunuchism	E29.1	Testicular hypofunction
C562467	Lymphedema, Hereditary, II	I89.0	Lymphoedema, not elsewhere classified
D020391	Muscular Dystrophy, Facioscapulohumeral	G71.0	Muscular dystrophy
D020513	Paralysis, Hyperkalemic Periodic	G72.3	Periodic paralysis
D020514	Hypokalemic Periodic Paralysis	G72.3	Periodic paralysis
C573898	Triphalangeal Thumb	Q74.0	Other congenital malformations of upper limb(s), including shoulder girdle
C580003	Combined Pituitary Hormone Deficiency	E23.0	Hypopituitarism
D018457	Placenta, Retained	O72.0	Third-stage haemorrhage
D018677	Tooth Injuries	S00-S09.9	Injuries to the head
D018677	Tooth Injuries	S09.9	Unspecified injury of head
D018778	Hantavirus Infections	A98.5	Haemorrhagic fever with renal syndrome
C566832	Papillomatosis, Familial Cutaneous	L83	Acanthosis nigricans
D053718	Scleromyxedema	L98.5	Mucinosis of skin
C537187	Pili annulati	Q84.1	Congenital morphological disturbances of hair, not elsewhere classified
C536366	Angioma serpiginosum, X-linked	L81.7	Pigmented purpuric dermatosis
D058606	Accessory Atrioventricular Bundle	I45.6	Pre-excitation syndrome
C537533	Seckel syndrome 1	Q87.1	Congenital malformation syndromes predominantly associated with short stature
C562492	Robinow Syndrome, Autosomal Dominant	Q87.1	Congenital malformation syndromes predominantly associated with short stature
C536687	Weaver syndrome	Q87.3	Congenital malformation syndromes involving early overgrowth
C535483	Freeman-Sheldon syndrome	Q87.0	Congenital malformation syndromes predominantly affecting facial appearance
D058497	Fraser Syndrome	Q87.0	Congenital malformation syndromes predominantly affecting facial appearance
D006053	Goldenhar Syndrome	Q87.0	Congenital malformation syndromes predominantly affecting facial appearance
C562503	Otocephaly	Q18.2	Other branchial cleft malformations
C535326	Holt-Oram syndrome	Q87.2	Congenital malformation syndromes predominantly involving limbs
C562548	Clavicle, Pseudarthrosis Of, Congenital	Q74.0	Other congenital malformations of upper limb(s), including shoulder girdle
C536932	Uhl anomaly	Q24.8	Other specified congenital malformations of heart
C537260	Hereditary koilonychia	Q84.6	Other congenital malformations of nails
C536946	Taurodontism	K00.2	Abnormalities of size and form of teeth
C536139	Megaduodenum	Q43.8	Other specified congenital malformations of intestine
C562563	Microcolon	Q43.8	Other specified congenital malformations of intestine
C562564	Gallbladder, Agenesis Of	Q44.0	Agenesis, aplasia and hypoplasia of gallbladder
C536003	Accessory pancreas	Q45.3	Other congenital malformations of pancreas and pancreatic duct
D054082	Lissencephaly	Q04.3	Other reduction deformities of brain
D065707	Schizencephaly	Q04.6	Congenital cerebral cysts
C535908	Marcus Gunn phenomenon	Q07.8	Other specified congenital malformations of nervous system
C535908	Marcus Gunn phenomenon	Q07	Other congenital malformations of nervous system
C562573	Cyclopia	Q87.0	Congenital malformation syndromes predominantly affecting facial appearance
D054243	Vesicular Stomatitis	K12.1	Other forms of stomatitis
C535921	Cheilitis glandularis	K13.0	Diseases of lips
D065710	Glossoptosis	K14.8	Other diseases of tongue
